id,name,l10n_co_document_code,country_id:id,is_vat,sequence,l10n_co_edi_code
l10n_co.rut,NIT,rut,base.co,TRUE,1,31
l10n_co.national_citizen_id,Cédula de ciudadanía,national_citizen_id,base.co,FALSE,2,13
l10n_co.external_id,ID del Exterior,external_id,base.co,FALSE,3,21
l10n_co.foreign_id_card,Cédula Extranjera,foreign_id_card,base.co,FALSE,4,22
l10n_co.passport,Pasaporte,passport,base.co,FALSE,5,41
l10n_co.id_card,Tarjeta de Identidad,id_card,base.co,FALSE,6,12
l10n_co.civil_registration,Registro Civil,civil_registration,base.co,FALSE,7,11
l10n_co.diplomatic_card,Carné Diplomatico,diplomatic_card,base.co,FALSE,8,0-99
l10n_co.residence_document,Salvoconducto de Permanencia,residence_document,base.co,FALSE,9,0-99
l10n_co.id_document,Cédula,id_document,base.co,FALSE,10,12
